time_s,index,name,x,y,z,vx,vy,vz
240,47,sat_47,4.02491e+06,1.39639e+06,5.65245e+06,-2369.93,7119.88,-71.3628
240,48,sat_48,-811574,6.8059e+06,1.76667e+06,-4804.74,904.84,-5692.98
240,49,sat_49,-4.558e+06,2.94277e+06,-4.54585e+06,-688.206,-6568.89,-3562.35
240,50,service_1,4.60063e+06,4.9323e+06,2.18922e+06,-4980.16,2397.13,5071.12
300,0,sat_0,6.72312e+06,1.33213e+06,1.7678e+06,-2346.79,4289.67,5692.59
300,1,sat_1,4.13804e+06,3.45594e+06,4.58619e+06,-6088.26,2640.27,3503.76
300,2,sat_2,-27623.6,4.2597e+06,5.65281e+06,-7504.23,-17.6252,-23.3894
300,3,sat_3,-4.18274e+06,3.4364e+06,4.56025e+06,-6053.83,-2668.79,-3541.6
300,4,sat_4,-6.74019e+06,1.30051e+06,1.72583e+06,-2291.08,-4300.57,-5707.05
300,5,sat_5,-6.72312e+06,-1.33213e+06,-1.7678e+06,2346.79,-4289.67,-5692.59
300,6,sat_6,-4.13804e+06,-3.45594e+06,-4.58619e+06,6088.26,-2640.27,-3503.76
300,7,sat_7,27623.6,-4.2597e+06,-5.65281e+06,7504.23,17.6252,23.3894
300,8,sat_8,4.18274e+06,-3.4364e+06,-4.56025e+06,6053.83,2668.79,3541.6
300,9,sat_9,6.74019e+06,-1.30051e+06,-1.72583e+06,2291.08,4300.57,5707.05
300,10,sat_10,-2.34183e+06,4.60085e+06,4.84232e+06,-4202.56,-5393.61,3092.22
300,11,sat_11,-2.36954e+06,4.5651e+06,4.86263e+06,-4185.06,-5427.64,3056.18
300,12,sat_12,-4.2388e+06,678115,5.62785e+06,-1905.2,-7236.54,-563.014
300,13,sat_13,-4.38954e+06,-3.9202e+06,3.93243e+06,1472.35,-5967.43,-4305.37
300,14,sat_14,-2.39534e+06,-6.65399e+06,294482,4168.52,-1765.48,-5985.05
300,15,sat_15,784686,-6.1054e+06,-3.49405e+06,4809.76,3314.34,-4711.23
300,16,sat_16,3.57726e+06,-2.53767e+06,-5.55549e+06,3072.75,6756.17,-1107.54
300,17,sat_17,4.60072e+06,2.28518e+06,-4.86943e+06,-183.966,6856.72,3043.98
300,18,sat_18,3.34878e+06,5.97786e+06,-1.77509e+06,-3349.71,3566.12,5690.04
300,19,sat_19,440626,6.71404e+06,2.19718e+06,-4858.77,-1488.19,5521.95
300,20,sat_20,-408447,-4.6551e+06,5.31632e+06,6611.91,-2906.48,-2037
300,21,sat_21,-3.70525e+06,-2.4436e+06,5.51361e+06,5336.01,-5108.19,1321.98
300,22,sat_22,-929906,-4.40885e+06,5.45869e+06,6552.32,-3310.05,-1557.24
300,23,sat_23,3.53371e+06,-5.35384e+06,2.99153e+06,5465.24,765.827,-5085.17
300,24,sat_24,6.17681e+06,-3.13809e+06,-1.44896e+06,1009.7,4662.23,-5792.96
300,25,sat_25,4.85713e+06,1.14636e+06,-5.01938e+06,-4169.75,5597.17,-2756.66
300,26,sat_26,326840,4.69056e+06,-5.29073e+06,-6617.01,2841.68,2110.55
